Date,Carrier,Tracking #,Order #,Delivery City,Star Rating,FeedbackCategory,Subcategory,Comment
Tue Feb 07 00:00:00 GMT 2023,MI,"	92419902712015573016253585","	null",SUMTER; SC; US; 29153,5,Thanks/Praise,Thanks/Praise,The children are so happy to see new books when they arrive!!
Tue Feb 07 00:00:00 GMT 2023,MI,"	92419902712015573016449360","	null",KANSAS CITY; MO; US; 64151,1,Stalled Tracking,Stalled Tracking,I had summited an order and it hasn't been delivered yet. It has kept changing the date as to when it will be delivered.
Tue Feb 07 00:00:00 GMT 2023,MI,"	92419902712015573016473648","	72383320",ABILENE; TX; US; 79603,5,Thanks/Praise,Thanks/Praise,"Parents could do everythng they needed without my help and I didn't need to handle any money! 

PLUS! The freebie books were an EXTRA cherry on top! Kiddos were SO excited!"
Tue Feb 07 00:00:00 GMT 2023,ups,"	1Z1W1R130319436755","	72281642",MANCHESTER; NH; US; 03104,1,No Package Received,No Package Received,Never got my book order!
Tue Feb 07 00:00:00 GMT 2023,MI,"	92419902712015573015875023","	72186415",SOUTH HADLEY; MA; US; 01075,1,Stalled Tracking,Stalled Tracking,Box was lost for over a week
Tue Feb 07 00:00:00 GMT 2023,MI,"	92419902712015573016703264","	72446843",BEDFORD; PA; US; 15522,5,No Comment,No Comment,No Comment
Tue Feb 07 00:00:00 GMT 2023,MI,"	92419902712015573016590420","	72413769",MIDDLETOWN; NY; US; 10941,5,Thanks/Praise,Thanks/Praise,Having someone help me find the class code. It made it much easier.
Mon Feb 06 00:00:00 GMT 2023,MI,"	92419902712015573016002220","	72228243",SCHURZ; NV; US; 89427,1,Stalled Tracking,Stalled Tracking,Went to post office to pick up my package and was told itâ€™s not there!
Mon Feb 06 00:00:00 GMT 2023,MI,"	92419902712015573016410018","	null",KEEGO HARBOR; MI; US; 48320,5,Thanks/Praise,Thanks/Praise,great shipping time!
Mon Feb 06 00:00:00 GMT 2023,MI,"	92419902712015573016160531","	72280389",AMARILLO; TX; US; 79118,3,Stalled Tracking,Stalled Tracking,"It was supposed to be delivered last Thursday, but it wasn't. Every day since then it has said it was supposed to be delivered that day and every day nothing. Still waiting for the delivery."
Mon Feb 06 00:00:00 GMT 2023,MI,"	92419902712015573016681135","	72442165",PHOENIX; AZ; US; 85020,5,Thanks/Praise,Thanks/Praise,We love reading books!!ðŸ’œ
Mon Feb 06 00:00:00 GMT 2023,MI,"	92419902712015573016287511","	72326190",GLENDALE; CA; US; 91208,2,After Hours Delivery,After Hours Delivery,Of course nobody would be available to receive the box of books on Saturday. Schools are closed on Saturday.
Mon Feb 06 00:00:00 GMT 2023,MI,"	92419902712015573016082666","	72257130",FLOURTOWN; PA; US; 19031,1,Stalled Tracking,Stalled Tracking,Our order was supposed to arrive Wednesday and every day it keeps changing every day.  Now itâ€™s supposed to arrive Monday. These were supposed to be a gift.
